gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13067-13067_game_1,2026-01-17 09:15:53,16.01,Anyone's Legend,Blue,1,31.7,1,0,FD Only,,,14,10,,1.0,,
13067-13067_game_1,2026-01-17 09:15:53,16.01,Bilibili Gaming,Red,0,31.7,0,1,More Grubs Only,,,10,14,,0.0,,
13068-13068_game_3,2026-01-17 14:17:15,16.01,JD Gaming,Blue,0,31.75,0,0,Neither,,,9,16,,0.0,,
13068-13068_game_3,2026-01-17 14:17:15,16.01,Invictus Gaming,Red,1,31.75,1,1,FD + More Grubs,,,16,9,,1.0,,
13069-13069_game_2,2026-01-18 10:08:10,16.01,Top Esports,Red,0,36.21666666666667,1,1,FD + More Grubs,,,14,30,,0.0,,
13070-13070_game_1,2026-01-18 11:26:38,16.01,JD Gaming,Blue,1,31.5,1,1,FD + More Grubs,,,25,6,,1.0,,
13070-13070_game_1,2026-01-18 11:26:38,16.01,Anyone's Legend,Red,0,31.5,0,0,Neither,,,6,25,,0.0,,
13069-13069_game_1,2026-01-18 09:12:53,16.01,Bilibili Gaming,Blue,1,27.85,0,1,More Grubs Only,,,23,3,,1.0,,
13069-13069_game_1,2026-01-18 09:12:53,16.01,Top Esports,Red,0,27.85,1,0,FD Only,,,3,23,,0.0,,
13069-13069_game_2,2026-01-18 10:08:10,16.01,Bilibili Gaming,Blue,1,36.21666666666667,0,0,Neither,,,30,14,,1.0,,
13070-13070_game_2,2026-01-18 12:23:38,16.01,JD Gaming,Blue,0,44.416666666666664,0,1,More Grubs Only,,,6,18,,1.0,,
13070-13070_game_2,2026-01-18 12:23:38,16.01,Anyone's Legend,Red,1,44.416666666666664,1,0,FD Only,,,18,6,,0.0,,
13070-13070_game_3,2026-01-18 13:33:03,16.01,Anyone's Legend,Blue,0,32.96666666666667,0,0,Neither,,,11,22,,0.0,,
13070-13070_game_3,2026-01-18 13:33:03,16.01,JD Gaming,Red,1,32.96666666666667,1,1,FD + More Grubs,,,22,11,,1.0,,
13071-13071_game_2,2026-01-19 08:04:18,16.01,Team WE,Blue,1,29.983333333333334,1,0,FD Only,,,16,13,,0.0,,
13071-13071_game_2,2026-01-19 08:04:18,16.01,ThunderTalk Gaming,Red,0,29.983333333333334,0,1,More Grubs Only,,,13,16,,1.0,,
13072-13072_game_1,2026-01-19 09:14:21,16.01,Weibo Gaming,Blue,0,42.05,0,0,Neither,,,18,17,,0.0,,
13071-13071_game_1,2026-01-19 07:13:41,16.01,Team WE,Blue,1,25.833333333333332,1,1,FD + More Grubs,,,15,7,,0.0,,
13071-13071_game_1,2026-01-19 07:13:41,16.01,ThunderTalk Gaming,Red,0,25.833333333333332,0,0,Neither,,,7,15,,1.0,,
13072-13072_game_1,2026-01-19 09:14:21,16.01,Top Esports,Red,1,42.05,1,1,FD + More Grubs,,,17,18,,1.0,,
13072-13072_game_2,2026-01-19 10:23:55,16.01,Top Esports,Blue,0,30.383333333333333,0,1,More Grubs Only,,,8,23,,0.0,,
13072-13072_game_2,2026-01-19 10:23:55,16.01,Weibo Gaming,Red,1,30.383333333333333,1,0,FD Only,,,23,8,,1.0,,
13072-13072_game_3,2026-01-19 11:16:45,16.01,Weibo Gaming,Blue,0,23.6,0,1,More Grubs Only,,,3,21,,0.0,,
13072-13072_game_3,2026-01-19 11:16:45,16.01,Top Esports,Red,1,23.6,1,0,FD Only,,,21,3,,1.0,,
13073-13073_game_1,2026-01-19 12:21:37,16.01,Ninjas in Pyjamas,Blue,0,29.333333333333332,0,1,More Grubs Only,,,7,16,,0.0,,
13073-13073_game_1,2026-01-19 12:21:37,16.01,EDward Gaming,Red,1,29.333333333333332,1,0,FD Only,,,16,7,,1.0,,
13073-13073_game_2,2026-01-19 13:14:20,16.01,EDward Gaming,Blue,0,29.116666666666667,0,1,More Grubs Only,,,4,23,,1.0,,
13073-13073_game_2,2026-01-19 13:14:20,16.01,Ninjas in Pyjamas,Red,1,29.116666666666667,1,0,FD Only,,,23,4,,0.0,,
13073-13073_game_3,2026-01-19 14:05:50,16.01,EDward Gaming,Blue,0,38.3,0,0,Neither,,,5,12,,0.0,,
13073-13073_game_3,2026-01-19 14:05:50,16.01,Ninjas in Pyjamas,Red,1,38.3,1,1,FD + More Grubs,,,12,5,,1.0,,
13074-13074_game_1,2026-01-20 09:14:03,16.01,Anyone's Legend,Blue,1,29.983333333333334,0,1,More Grubs Only,,,24,9,,1.0,,
13074-13074_game_1,2026-01-20 09:14:03,16.01,Weibo Gaming,Red,0,29.983333333333334,1,0,FD Only,,,9,24,,0.0,,
13074-13074_game_2,2026-01-20 10:07:15,16.01,Anyone's Legend,Blue,1,32.5,1,1,FD + More Grubs,,,14,11,,1.0,,
13074-13074_game_2,2026-01-20 10:07:15,16.01,Weibo Gaming,Red,0,32.5,0,0,Neither,,,11,14,,0.0,,
13075-13075_game_1,2026-01-20 11:17:22,16.01,Bilibili Gaming,Blue,1,33.78333333333333,0,1,More Grubs Only,,,18,6,,1.0,,
13075-13075_game_1,2026-01-20 11:17:22,16.01,Invictus Gaming,Red,0,33.78333333333333,1,0,FD Only,,,6,18,,0.0,,
13075-13075_game_2,2026-01-20 12:18:42,16.01,Bilibili Gaming,Blue,1,30.1,0,1,More Grubs Only,,,20,3,,1.0,,
13075-13075_game_2,2026-01-20 12:18:42,16.01,Invictus Gaming,Red,0,30.1,1,0,FD Only,,,3,20,,0.0,,
13076-13076_game_1,2026-01-21 09:13:30,16.01,LNG Esports,Blue,1,33.93333333333333,0,1,More Grubs Only,,,15,4,,1.0,,
13076-13076_game_1,2026-01-21 09:13:30,16.01,LGD Gaming,Red,0,33.93333333333333,1,0,FD Only,,,4,15,,0.0,,
13076-13076_game_2,2026-01-21 10:10:09,16.01,LNG Esports,Blue,0,33.63333333333333,1,1,FD + More Grubs,,,9,15,,1.0,,
13076-13076_game_2,2026-01-21 10:10:09,16.01,LGD Gaming,Red,1,33.63333333333333,0,0,Neither,,,15,9,,0.0,,
13076-13076_game_3,2026-01-21 11:07:56,16.01,LNG Esports,Blue,1,41.75,1,1,FD + More Grubs,,,16,8,,1.0,,
13076-13076_game_3,2026-01-21 11:07:56,16.01,LGD Gaming,Red,0,41.75,0,0,Neither,,,8,16,,0.0,,
13077-13077_game_1,2026-01-21 12:26:03,16.01,Top Esports,Blue,1,38.15,1,0,FD Only,,,27,28,,1.0,,
13077-13077_game_1,2026-01-21 12:26:03,16.01,Invictus Gaming,Red,0,38.15,0,1,More Grubs Only,,,28,27,,0.0,,
13077-13077_game_2,2026-01-21 13:27:23,16.01,Top Esports,Blue,0,45.95,0,0,Neither,,,19,25,,0.0,,
13077-13077_game_2,2026-01-21 13:27:23,16.01,Invictus Gaming,Red,1,45.95,1,1,FD + More Grubs,,,25,19,,1.0,,
13077-13077_game_3,2026-01-21 14:38:01,16.01,Invictus Gaming,Blue,1,33.85,1,0,FD Only,,,18,5,,1.0,,
13077-13077_game_3,2026-01-21 14:38:01,16.01,Top Esports,Red,0,33.85,0,1,More Grubs Only,,,5,18,,0.0,,
13078-13078_game_2,2026-01-22 08:06:15,16.01,Oh My God,Blue,0,33.833333333333336,0,1,More Grubs Only,,,6,20,,1.0,,
13078-13078_game_2,2026-01-22 08:06:15,16.01,Ultra Prime,Red,1,33.833333333333336,1,0,FD Only,,,20,6,,0.0,,
13079-13079_game_1,2026-01-22 09:16:51,16.01,EDward Gaming,Blue,1,27.25,0,1,More Grubs Only,,,13,2,,0.0,,
13079-13079_game_1,2026-01-22 09:16:51,16.01,ThunderTalk Gaming,Red,0,27.25,1,0,FD Only,,,2,13,,1.0,,
